stock_id,股票代號,股票名稱,股價,今日漲跌%,投信持有%,投信今日%,投信今日(張),5買%,10買%,20買%,5買N天,10買N天,20買N天,5賣N天,10賣N天,20賣N天,外資持有%,外資今日%,Q1-Q3EPS,1月-11月EPS,去年EPS,三率三升,月增率%,年增率%,累積年增率%,月增率遞增,年增率遞增,累積年增率遞增,累積年增率>20%,累積年增率>50%,累積年增率>100%,上月營收創新高,股票名稱.1,股票代號.1,1月-12月EPS(預估),1月EPS(預估),去年EPS(預估),sar趨勢向上,2021Q4三率三升,1-2月EPS(預估),去年Q1-Q3EPS,去年Q1-Q4EPS,1-3月EPS(預估),1-4月EPS(預估),Q1 EPS,EPS遞增季數,EPS遞減季數,2022Q1三率三升,主力今日%,主力5買%,主力10買%,主力20買%,去年累計同期EPS,去年整年EPS,營收遞增月數,營收創新高,營收月增率%,營收年增率%,營收累計年增率%,月增率遞增月數,年增率遞增月數,累計年增率遞增月數,營業利益成長率遞增季數,營業毛利成長率遞增季數,稅前淨利成長率遞增季數,產業,本益比(同產業rank),股價淨值比(同產業rank),殖利率(同產業rank)
2022-01-13,6138,茂達,221.0,-3.7,10.39,0.15,109.0,-0.06,-3.69,0.2,1,1,7,4,9,12,18.28,-0.14,9.0,,6.43,,-3.57,26.93,25.46,,3個月遞增,2個月遞增,連續3個月>20%,,,,茂達,6138,12.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,9958,世紀鋼,116.0,0.0,1.01,0.1,235.0,0.06,0.06,-0.21,1,1,1,2,2,6,9.16,0.11,4.67,,4.38,,8.44,51.22,57.33,3個月遞增,2個月遞增,單月增加,連續3個月>20%,連續3個月>50%,,,世紀鋼,9958,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,6788,華景電,189.5,1.61,1.86,0.08,28.0,-0.24,-0.29,0.13,1,1,4,2,3,3,1.39,-0.21,4.65,,,,-38.77,44.27,49.25,,單月增加,單月增加,連續3個月>20%,,,,華景電,6788,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,3527,聚積,181.0,0.0,0.41,0.07,31.0,0.07,0.07,0.07,1,1,1,0,0,0,9.41,-1.07,9.58,,1.61,,-1.63,11.89,66.99,3個月遞增,單月增加,單月增加,連續3個月>20%,,,,聚積,3527,13.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,6182,合晶,79.6,1.79,11.3,0.04,233.0,0.04,0.04,0.31,1,1,6,1,2,4,15.81,1.05,1.35,,1.02,,0.27,52.72,39.32,單月增加,2個月遞增,3個月遞增,連續3個月>20%,,,v,合晶,6182,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,3044,健鼎,124.5,0.0,4.18,0.01,77.0,0.01,-0.0,-0.65,1,1,3,3,8,16,42.38,0.02,8.25,,11.65,,1.25,7.84,13.41,單月增加,單月增加,單月增加,,,,,健鼎,3044,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,2354,鴻準,63.3,0.0,1.13,0.01,105.0,0.01,0.01,-0.0,1,1,2,1,4,13,21.55,-0.03,2.58,,3.34,,-2.82,-21.47,-0.64,2個月遞增,2個月遞增,,,,,,鴻準,2354,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,8436,大江,193.0,1.31,0.3,0.0,1.0,-0.02,-0.02,-0.02,1,1,3,1,1,1,32.38,-0.12,11.47,,15.69,,0.89,-13.08,4.31,3個月遞增,,單月增加,,,,,大江,8436,14.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,8358,金居,73.7,2.08,8.23,0.0,1.0,-0.37,-0.96,-1.21,1,1,2,2,6,15,7.58,0.14,4.2,,2.14,,-1.63,47.53,47.66,,單月增加,單月增加,連續3個月>20%,,,,金居,8358,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,8044,網家,121.5,0.41,0.54,0.0,1.0,0.0,0.0,0.0,1,1,1,0,0,0,29.72,-0.09,2.37,,2.16,,-24.33,1.73,10.81,,單月增加,單月增加,,,,,網家,8044,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,6274,台燿,95.1,-0.94,1.36,0.0,1.0,-0.42,-0.43,-0.42,1,1,2,3,5,6,43.69,-0.13,5.58,,6.67,,1.0,29.28,17.12,單月增加,單月增加,3個月遞增,,,,,台燿,6274,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
